Kabupaten / Kota,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota di Provinsi Jawa Tengah
,2022
3300 PROVINSI JAWA TENGAH,1.77
3301 Kabupaten Cilacap,1.47
3302 Kabupaten Banyumas,1.75
3303 Kabupaten Purbalingga,2.08
3304 Kabupaten Banjarnegara,2.34
3305 Kabupaten Kebumen,3.41
3306 Kabupaten Purworejo,1.31
3307 Kabupaten Wonosobo,3.18
3308 Kabupaten Magelang,1.66
3309 Kabupaten Boyolali,1.13
3310 Kabupaten Klaten,1.86
3311 Kabupaten Sukoharjo,0.87
3312 Kabupaten Wonogiri,1.33
3313 Kabupaten Karanganyar,1.64
3314 Kabupaten Sragen,2.07
3315 Kabupaten Grobogan,1.95
3316 Kabupaten Blora,1.8
3317 Kabupaten Rembang,2.41
3318 Kabupaten Pati,1.2
3319 Kabupaten Kudus,0.9
3320 Kabupaten Jepara,1.22
3321 Kabupaten Demak,1.68
3322 Kabupaten Semarang,1.03
3323 Kabupaten Temanggung,1.06
3324 Kabupaten Kendal,1.52
3325 Kabupaten Batang,1.26
3326 Kabupaten Pekalongan,1.67
3327 Kabupaten Pemalang,2.43
3328 Kabupaten Tegal,0.95
3329 Kabupaten Brebes,2.73
3371 Kota Magelang,0.47
3372 Kota Surakarta,1.07
3373 Kota Salatiga,0.66
3374 Kota Semarang,0.56
3375 Kota Pekalongan,0.9
3376 Kota Tegal,1.15