Kabupaten dan Kota,
,[Indikator Strategis] Kepadatan Penduduk Menurut Kabupaten/Kota di Provinsi Jawa Tengah (jiwa per km2)
,2022
3301 Kabupaten Cilacap,930
3302 Kabupaten Banyumas,1360
3303 Kabupaten Purbalingga,1311
3304 Kabupaten Banjarnegara,971
3305 Kabupaten Kebumen,1073
3306 Kabupaten Purworejo,752
3307 Kabupaten Wonosobo,910
3308 Kabupaten Magelang,1209
3309 Kabupaten Boyolali,1064
3310 Kabupaten Klaten,1946
3311 Kabupaten Sukoharjo,1964
3312 Kabupaten Wonogiri,580
3313 Kabupaten Karanganyar,1227
3314 Kabupaten Sragen,1048
3315 Kabupaten Grobogan,744
3316 Kabupaten Blora,495
3317 Kabupaten Rembang,642
3318 Kabupaten Pati,898
3319 Kabupaten Kudus,2014
3320 Kabupaten Jepara,1188
3321 Kabupaten Demak,1363
3322 Kabupaten Semarang,1128
3323 Kabupaten Temanggung,919
3324 Kabupaten Kendal,1031
3325 Kabupaten Batang,1031
3326 Kabupaten Pekalongan,1180
3327 Kabupaten Pemalang,1483
3328 Kabupaten Tegal,1846
3329 Kabupaten Brebes,1213
3371 Kota Magelang,6715
3372 Kota Surakarta,11878
3373 Kota Salatiga,3683
3374 Kota Semarang,4442
3375 Kota Pekalongan,6889
3376 Kota Tegal,8069
3300 Provinsi Jawa Tengah,1138