Kabupaten / Kota,,,,,
,[Metode Baru] Indeks Pembangunan Manusia Menurut Kabupaten/Kota,,,,
,Usia Harapan Hidup saat Lahir (tahun),Harapan Lama Sekolah (tahun),Rata-rata Lama Sekolah (tahun),Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun),Indeks Pembangunan Manusia
,2022,2022,2022,2022,2022
3300 PROVINSI JAWA TENGAH,74.57,12.81,7.93,11377,72.79
3301 Kabupaten Cilacap,74.07,12.66,7.18,10904,70.99
3302 Kabupaten Banyumas,73.88,13.21,7.78,11905,73.17
3303 Kabupaten Purbalingga,73.28,12.01,7.33,10277,69.54
3304 Kabupaten Banjarnegara,74.37,11.81,6.84,9776,68.61
3305 Kabupaten Kebumen,73.7,13.36,7.85,9282,70.79
3306 Kabupaten Purworejo,75.03,13.52,8.32,10671,73.6
3307 Kabupaten Wonosobo,72.05,11.78,6.88,11108,68.89
3308 Kabupaten Magelang,74.03,12.58,7.81,10011,70.85
3309 Kabupaten Boyolali,76.12,12.62,8.08,13250,74.97
3310 Kabupaten Klaten,76.95,13.4,9.09,12522,76.95
3311 Kabupaten Sukoharjo,77.82,13.9,9.62,11841,77.94
3312 Kabupaten Wonogiri,76.41,12.51,7.42,9780,71.04
3313 Kabupaten Karanganyar,77.64,13.7,8.79,11798,76.58
3314 Kabupaten Sragen,75.87,12.91,7.79,13052,74.65
3315 Kabupaten Grobogan,74.93,12.45,7.26,10610,70.97
3316 Kabupaten Blora,74.6,12.44,7.01,10067,69.95
3317 Kabupaten Rembang,74.68,12.13,7.41,10937,71
3318 Kabupaten Pati,76.32,12.95,7.79,10948,73.14
3319 Kabupaten Kudus,76.76,13.25,9.06,11609,75.89
3320 Kabupaten Jepara,75.97,12.77,8.09,10913,73.15
3321 Kabupaten Demak,75.52,13.33,8.1,10698,73.36
3322 Kabupaten Semarang,75.86,13.04,8.05,12448,74.67
3323 Kabupaten Temanggung,75.7,12.55,7.41,9773,70.77
3324 Kabupaten Kendal,74.53,12.97,7.71,11999,73.19
3325 Kabupaten Batang,74.79,12.14,6.9,9972,69.45
3326 Kabupaten Pekalongan,73.8,12.43,7.46,10707,70.81
3327 Kabupaten Pemalang,73.65,11.98,6.5,8994,67.19
3328 Kabupaten Tegal,71.85,12.91,7.25,10020,69.53
3329 Kabupaten Brebes,69.74,12.15,6.35,10514,67.03
3371 Kota Magelang,77.02,14.31,10.94,12816,80.39
3372 Kota Surakarta,77.43,14.89,10.92,15463,83.08
3373 Kota Salatiga,77.72,15.43,10.95,16351,84.35
3374 Kota Semarang,77.69,15.54,10.8,16047,84.08
3375 Kota Pekalongan,74.51,12.86,9.2,13158,75.9
3376 Kota Tegal,74.64,13.08,9,13455,76.15